ID	institucion	acreditacion	carrera	area	subvencionados	desercionagno1	duracion	empleabilidadagno1	ingresoagno4	arancel
871	Universidad Santo Tomás	3 años	Educación Parvularia	Educación	97,7%	14,5%	 10,3 	50,0%	 De $400 mil a $600 mil 	 $ 1.497.293 
874	Universidad de Aconcagua	No	Educación Parvularia	Educación	100,0%	s/i	 12,1 	53,6%	s/i	 $ 1.332.300 
875	Universidad de Arte y Ciencias Sociales ARCIS	2 años	Educación Parvularia	Educación	100,0%	s/i	 9,8 	73,2%	s/i	 $ 1.712.000 
877	Universidad de La Serena	4 años	Educación Parvularia	Educación	98,4%	25,7%	 10,4 	81,0%	 De $400 mil a $600 mil 	 $ 1.554.000 
881	IP del Valle Central	2 años	Educación Parvularia	Educación	99,4%	25,2%	 9,7 	60,2%	 Menor a $400 mil 	 $ 966.973 
882	IP Diego Portales	No	Educación Parvularia	Educación	99,6%	52,4%	 9,5 	56,8%	 Menor a $400 mil 	 $ 766.176 
883	IP Los Leones	4 años	Educación Parvularia	Educación	99,1%	44,4%	 11,6 	57,5%	 Menor a $400 mil 	 $ 897.922 
884	IP Providencia	4 años	Educación Parvularia mención Lenguaje y Ciencias	Educación	98,7%	28,0%	 9,1 	64,9%	 De $400 mil a $600 mil 	 $ 1.062.459 
862	Universidad de Tarapacá	5 años	Educación Parvularia y Psicopedagogía	Educación	97,4%	37,5%	 11,1 	58,9%	 De $400 mil a $600 mil 	 $ 1.966.746 
850	Universidad Autónoma de Chile	5 años	Pedagogía en Educación Parvularia	Educación	98,8%	7,5%	 9,5 	73,1%	 De $400 mil a $600 mil 	 $ 1.644.135 
865	Universidad del Bío-Bío	5 años	Pedagogía en Educación Parvularia	Educación	99,3%	5,9%	 8,3 	66,4%	 De $400 mil a $600 mil 	 $ 1.690.000 
866	Universidad del Mar	2 años	Pedagogía en Educación Parvularia	Educación	97,1%	26,3%	 9,3 	66,0%	 De $400 mil a $600 mil 	 $ 1.684.591 
868	Universidad Diego Portales	5 años	Pedagogía en Educación Parvularia	Educación	70,1%	13,6%	 10,3 	81,7%	s/i	 $ 2.254.000 
872	Universidad UCINF	2 años	Pedagogía en Educación Parvularia	Educación	95,2%	16,7%	 9,6 	70,5%	 De $400 mil a $600 mil 	 $ 1.237.000 
873	Universidad Católica del Maule	5 años	Pedagogía en Educación Parvularia	Educación	92,7%	9,5%	 9,5 	82,7%	 De $400 mil a $600 mil 	 $ 1.820.000 
879	IP de Chile	4 años	Pedagogía en Educación Parvularia	Educación	99,3%	29,0%	 9,6 	59,4%	 De $400 mil a $600 mil 	 $ 1.007.662 
878	Universidad Metropolitana de Ciencias de la Educación	4 años	Pedagogía en Educación Parvularia con mención 	Educación	97,1%	22,2%	 11,9 	84,6%	 De $400 mil a $600 mil 	 $ 1.675.000 
890	Universidad de Concepción	6 años	Educación Diferencial	Educación	97,2%	7,5%	 11,9 	94,8%	 De $400 mil a $600 mil 	 $ 1.495.000 
895	Universidad Santo Tomás	3 años	Educación Diferencial	Educación	98,6%	9,2%	 10,8 	95,6%	s/i	 $ 1.549.621 
891	Universidad de Los Lagos	3 años	Educación Diferencial con Especialidad en Problemas de Aprendizaje	Educación	99,3%	21,1%	 11,2 	97,8%	 De $400 mil a $600 mil 	 $ 1.428.000 
902	IP de Los Ángeles	No	Educación Diferencial con mención en Trastornos del Aprendizaje	Educación	99,0%	16,7%	 8,6 	94,7%	 De $400 mil a $600 mil 	 $ 980.000 
903	IP Providencia	4 años	Educación Diferencial mención Deficiencia Mental	Educación	99,0%	22,7%	 9,2 	91,9%	 De $400 mil a $600 mil 	 $ 1.123.222 
885	Pontificia Universidad Católica de Valparaíso	6 años	Educación Diferencial mención Trastornos del Aprendizaje Específico	Educación	86,5%	15,2%	 11,7 	94,8%	 De $400 mil a $600 mil 	 $ 1.918.000 
887	Universidad Católica del Maule	5 años	Educación Especial con mención Trastornos Específicos del Aprendizaje/Retardo Mental	Educación	98,0%	12,2%	 11,0 	96,4%	 De $400 mil a $600 mil 	 $ 1.870.000 
888	Universidad Católica Silva Henríquez	4 años	Pedagogía en Educación Diferencial	Educación	95,2%	17,3%	 10,2 	93,9%	 De $400 mil a $600 mil 	 $ 2.121.900 
892	Universidad de Playa Ancha de Ciencias de la Educación	4 años	Pedagogía en Educación Diferencial	Educación	97,5%	6,1%	 12,0 	95,1%	 De $400 mil a $600 mil 	 $ 1.560.300 
893	Universidad del Mar	2 años	Pedagogía en Educación Diferencial	Educación	98,5%	13,0%	 9,8 	100,0%	 De $400 mil a $600 mil 	 $ 1.505.579 
894	Universidad San Sebastián	4 años	Pedagogía en Educación Diferencial	Educación	96,6%	8,3%	 10,8 	95,8%	 De $400 mil a $600 mil 	 $ 1.992.551 
896	Universidad UCINF	2 años	Pedagogía en Educación Diferencial	Educación	98,5%	15,5%	 9,9 	93,1%	 De $400 mil a $600 mil 	 $ 1.394.000 
898	Universidad de La Serena	4 años	Pedagogía en Educación Diferencial	Educación	98,6%	12,2%	 10,9 	96,2%	 De $400 mil a $600 mil 	 $ 1.549.000 
886	Universidad Católica de Temuco	5 años	Pedagogía en Educación Diferencial con Especialidad en N.E.E.T. y Deficiencia Mental	Educación	99,0%	15,8%	 10,9 	93,7%	 De $400 mil a $600 mil 	 $ 1.835.000 
889	Universidad Central de Chile	4 años	Pedagogía en Educación Diferencial e Integral de Necesidades Educativas Especiales	Educación	96,2%	25,7%	 9,5 	97,0%	s/i	 $ 2.160.700 
901	Universidad Metropolitana de Ciencias de la Educación	4 años	Pedagogía en Educación Diferencial Especialidad	Educación	95,1%	11,4%	 12,1 	92,2%	 De $400 mil a $600 mil 	 $ 1.675.000 
920	Universidad Nacional Andrés Bello	5 años	Educación Física para la Educación General Básica	Educación	73,8%	26,3%	 10,8 	67,9%	 De $400 mil a $600 mil 	 $ 2.771.335 
911	Universidad de Atacama	3 años	Licenciatura en Educación y Pedagogía en Educación Física	Educación	100,0%	44,4%	 12,9 	84,7%	 De $400 mil a $600 mil 	 $ 1.922.000 
922	Universidad San Sebastián	4 años	Pedagogía de Educación Media en Educación Física	Educación	95,7%	13,7%	 11,4 	59,5%	 De $400 mil a $600 mil 	 $ 2.205.613 
904	Pontificia Universidad Católica de Valparaíso	6 años	Pedagogía en Educación Física	Educación	79,9%	15,3%	 13,1 	77,0%	 De $400 mil a $600 mil 	 $ 1.825.000 
905	Universidad Arturo Prat	2 años	Pedagogía en Educación Física	Educación	96,5%	62,5%	 12,9 	83,7%	s/i	 $ 1.393.000 
907	Universidad Autónoma de Chile	5 años	Pedagogía en Educación Física	Educación	99,0%	17,1%	 11,0 	63,5%	s/i	 $ 1.894.058 
909	Universidad Católica Silva Henríquez	4 años	Pedagogía en Educación Física	Educación	89,8%	19,9%	 11,4 	78,1%	 De $400 mil a $600 mil 	 $ 2.272.700 
910	Universidad Central de Chile	4 años	Pedagogía en Educación Física	Educación	93,3%	14,9%	 10,8 	54,4%	s/i	 $ 2.126.545 
913	Universidad de Las Américas	3 años	Pedagogía en Educación Física	Educación	94,5%	23,5%	 11,9 	59,4%	 De $400 mil a $600 mil 	 $ 2.367.806 
917	Universidad de Viña del Mar	4 años	Pedagogía en Educación Física	Educación	92,8%	23,7%	 11,2 	57,1%	s/i	 $ 2.131.371 
918	Universidad del Bío-Bío	5 años	Pedagogía en Educación Física	Educación	100,0%	13,2%	 10,2 	71,4%	s/i	 $ 1.690.000 
919	Universidad del Mar	2 años	Pedagogía en Educación Física	Educación	98,2%	29,7%	 10,8 	71,6%	 De $400 mil a $600 mil 	 $ 1.776.845 
921	Universidad Pedro de Valdivia	No	Pedagogía en Educación Física	Educación	97,6%	35,2%	 7,9 	71,4%	s/i	 $ 1.620.484 
923	Universidad Santo Tomás	3 años	Pedagogía en Educación Física	Educación	98,4%	20,6%	 11,0 	60,7%	s/i	 $ 1.889.080 
924	Universidad UCINF	2 años	Pedagogía en Educación Física	Educación	96,1%	26,2%	 10,2 	68,2%	s/i	 $ 1.737.000 
927	Universidad La República	No	Pedagogía en Educación Física	Educación	94,1%	s/i	 11,4 	75,0%	s/i	 $ 1.382.020 
928	Universidad de Antofagasta	4 años	Pedagogía en Educación Física	Educación	91,3%	34,8%	 10,3 	77,8%	s/i	 $ 2.028.000 
929	Universidad de Concepción	6 años	Pedagogía en Educación Física	Educación	94,0%	7,4%	 12,3 	66,5%	 De $400 mil a $600 mil 	 $ 1.498.177 
930	Universidad de Playa Ancha de Ciencias de la Educación	4 años	Pedagogía en Educación Física	Educación	95,3%	14,5%	 12,0 	77,6%	 De $400 mil a $600 mil 	 $ 1.560.300 
908	Universidad Católica del Maule	5 años	Pedagogía en Educación Física con Mención	Educación	95,0%	7,8%	 12,0 	80,7%	 De $400 mil a $600 mil 	 $ 1.870.000 
906	Universidad Austral de Chile	6 años	Pedagogía en Educación Física Deportes y Recreación	Educación	97,5%	20,0%	 9,4 	72,0%	s/i	 $ 1.976.000 
915	Universidad de Magallanes	4 años	Pedagogía en Educación Física para Ensenanza Básica y Media	Educación	95,8%	37,5%	 s/i 	69,6%	 Menor a $400 mil 	 $ 2.097.000 
925	Universidad Bolivariana	No	Pedagogía en Educación Física y Deporte	Educación	99,0%	61,0%	 s/i 	63,6%	s/i	 $ 1.290.000 
912	Universidad de La Frontera	5 años	Pedagogía en Educación Física, Deportes y Recreación	Educación	99,3%	16,4%	 11,3 	71,6%	 De $400 mil a $600 mil 	 $ 1.452.000 
931	Universidad Metropolitana de Ciencias de la Educación	4 años	Pedagogía en Educación Física, Deportes y Recreación	Educación	87,6%	13,6%	 11,1 	78,3%	 De $600 mil a $800 mil 	 $ 1.675.000 
914	Universidad de Los Lagos	3 años	Pedagogía en Educación Media mención Educación Física	Educación	97,7%	13,1%	 12,1 	79,0%	 De $400 mil a $600 mil 	 $ 1.617.000 
916	Universidad de Tarapacá	5 años	Profesor de Educación Física	Educación	100,0%	25,0%	 13,2 	74,5%	 De $400 mil a $600 mil 	 $ 1.971.000 
926	Universidad de Santiago de Chile	6 años	Licenciatura en Ciencias de la Actividad Física	Educación	92,0%	21,1%	 13,9 	66,1%	s/i	 $ 2.377.610 
938	IP Latinoamericano de Comercio Exterior	No	Pedagogía en Educación Media Técnico Profesional	Educación	s/i	16,7%	 10,5 	93,5%	s/i	 $ 748.235 
946	Universidad Metropolitana de Ciencias de la Educación	4 años	Licenciatura en Educación y Pedagogía en Filosofía	Educación	94,1%	28,2%	 13,2 	84,9%	s/i	 $ 1.675.000 
950	IP Hogar Catequístico	No	Pedagogía en Educación Religiosa	Educación	91,3%	38,5%	 s/i 	95,0%	s/i	 $ 1.076.750 
944	Universidad de Concepción	6 años	Pedagogía en Filosofía	Educación	94,2%	42,9%	 13,1 	62,5%	 De $400 mil a $600 mil 	 $ 1.495.000 
945	Universidad de Valparaíso	3 años	Pedagogía en Filosofía	Educación	93,8%	20,0%	 16,2 	66,7%	s/i	 $ 1.499.000 
948	Pontificia Universidad Católica de Valparaíso	6 años	Pedagogía en Filosofía y Religión	Educación	85,1%	39,4%	 14,7 	78,8%	s/i	 $ 1.787.000 
943	Universidad Católica Silva Henríquez	4 años	Pedagogía en Religión en Educación Básica y Media	Educación	93,1%	41,7%	 s/i 	88,6%	s/i	 $ 1.856.500 
942	Universidad Católica del Maule	5 años	Pedagogía en Religión y Filosofía	Educación	95,0%	5,9%	 12,5 	91,4%	 De $400 mil a $600 mil 	 $ 1.820.000 
941	Universidad Católica de la Santísima Concepción	En Proceso	Pedagogía Media en Religión y Moral	Educación	93,8%	s/i	 13,3 	89,2%	s/i	 $ 1.465.000 
966	Universidad Metropolitana de Ciencias de la Educación	4 años	Licenciatura en Educación con mención en Historia o Geografía y Pedagogía en Historia, Geografía y Educación Cívica	Educación	96,1%	14,0%	 12,3 	67,9%	 De $400 mil a $600 mil 	 $ 1.675.000 
955	Universidad de Arte y Ciencias Sociales ARCIS	2 años	Licenciatura y Pedagogía en Historia y Ciencias Sociales	Educación	95,2%	29,0%	 13,9 	55,6%	s/i	 $ 1.827.000 
960	Universidad de Los Lagos	3 años	Pedagogía en Educación Media en Historia y Geografía	Educación	99,3%	20,8%	 11,0 	73,1%	 De $400 mil a $600 mil 	 $ 1.507.000 
961	Universidad de Magallanes	4 años	Pedagogía en Historia y Ciencia Sociales para Ensenanza Media	Educación	98,6%	35,7%	 13,9 	53,1%	s/i	 $ 2.097.000 
952	Universidad Academia de Humanismo Cristiano	3 años	Pedagogía en Historia y Ciencias Sociales	Educación	96,4%	31,6%	 13,6 	59,2%	s/i	 $ 1.818.000 
963	Universidad de Valparaíso	3 años	Pedagogía en Historia y Ciencias Sociales	Educación	92,7%	27,9%	 16,7 	72,8%	 De $400 mil a $600 mil 	 $ 1.478.000 
965	Universidad del Mar	2 años	Pedagogía en Historia y Ciencias Sociales	Educación	96,9%	42,9%	 11,8 	68,2%	s/i	 $ 1.693.411 
954	Universidad Católica Silva Henríquez	4 años	Pedagogía en Historia y Geografía	Educación	96,9%	31,0%	 11,9 	76,7%	 De $400 mil a $600 mil 	 $ 2.121.900 
956	Universidad de Concepción	6 años	Pedagogía en Historia y Geografía	Educación	97,3%	9,7%	 12,3 	70,1%	 De $400 mil a $600 mil 	 $ 1.495.000 
958	Universidad de La Serena	4 años	Pedagogía en Historia y Geografía	Educación	98,4%	22,0%	 12,2 	63,0%	 De $400 mil a $600 mil 	 $ 1.549.000 
962	Universidad de Playa Ancha de Ciencias de la Educación	4 años	Pedagogía en Historia y Geografía	Educación	95,4%	22,8%	 12,3 	63,3%	 De $400 mil a $600 mil 	 $ 1.560.300 
964	Universidad del Bío-Bío	5 años	Pedagogía en Historia y Geografía	Educación	98,7%	25,0%	 11,7 	66,9%	 De $400 mil a $600 mil 	 $ 1.690.000 
967	Universidad de Tarapacá	5 años	Pedagogía en Historia y Geografía	Educación	100,0%	46,2%	 s/i 	57,3%	 De $400 mil a $600 mil 	 $ 1.971.000 
970	IP del Valle Central	2 años	Pedagogía en Historia y Geografía	Educación	99,0%	66,7%	 12,5 	49,4%	s/i	 $ 990.456 
957	Universidad de La Frontera	5 años	Pedagogía en Historia y Geografía y Educación Cívica	Educación	99,5%	23,3%	 11,0 	69,9%	 De $400 mil a $600 mil 	 $ 1.452.000 
953	Universidad Autónoma de Chile	5 años	Pedagogía en Historia, Geografía y Ciencias Sociales	Educación	100,0%	34,6%	 11,4 	45,1%	 De $400 mil a $600 mil 	 $ 1.653.600 
969	Universidad San Sebastián	4 años	Pedagogía en Historia, Geografía y Ciencias Sociales	Educación	95,6%	12,7%	 11,3 	67,7%	s/i	 $ 2.242.377 
951	Pontificia Universidad Católica de Valparaíso	6 años	Pedagogía en Historia, Geografía y Ciencias Sociales y/o Licenciatura en Historia	Educación	78,5%	20,0%	 14,1 	72,5%	 De $400 mil a $600 mil 	 $ 1.958.000 
959	Universidad de Las Américas	3 años	Pedagogía en Historia, Geografía y Educación Cívica	Educación	98,3%	31,5%	 9,9 	54,9%	s/i	 $ 2.070.321 
991	Universidad San Sebastián	4 años	Pedagogía de Educación Media en Inglés	Educación	95,7%	16,1%	 11,8 	80,7%	s/i	 $ 2.206.114 
972	Universidad Austral de Chile	6 años	Pedagogía en Comunicación en Lengua Inglesa	Educación	95,7%	7,9%	 12,0 	92,3%	s/i	 $ 1.976.000 
974	Universidad Católica de la Santísima Concepción	En Proceso	Pedagogía en Educación Media en Inglés	Educación	97,2%	18,3%	 12,9 	87,8%	s/i	 $ 1.651.000 
983	Universidad de Los Lagos	3 años	Pedagogía en Educación Media en Inglés y Traducción	Educación	99,0%	18,8%	 17,9 	100,0%	s/i	 $ 1.507.000 
973	Universidad Autónoma de Chile	5 años	Pedagogía en Inglés	Educación	98,3%	16,2%	 11,6 	86,5%	 De $400 mil a $600 mil 	 $ 1.753.219 
975	Universidad Católica de Temuco	5 años	Pedagogía en Inglés	Educación	98,4%	25,3%	 12,0 	85,7%	s/i	 $ 2.141.000 
976	Universidad Católica del Norte	6 años	Pedagogía en Inglés	Educación	84,5%	26,9%	 12,1 	91,5%	s/i	 $ 2.268.000 
977	Universidad Católica Silva Henríquez	4 años	Pedagogía en Inglés	Educación	94,1%	10,9%	 11,9 	85,0%	 De $400 mil a $600 mil 	 $ 2.239.800 
980	Universidad de Concepción	6 años	Pedagogía en Inglés	Educación	96,0%	4,8%	 12,5 	86,1%	 De $400 mil a $600 mil 	 $ 1.495.000 
981	Universidad de La Serena	4 años	Pedagogía en Inglés	Educación	97,6%	35,0%	 13,5 	85,2%	 De $400 mil a $600 mil 	 $ 1.549.000 
982	Universidad de Las Américas	3 años	Pedagogía en Inglés	Educación	95,1%	26,2%	 10,8 	73,3%	s/i	 $ 2.016.527 
985	Universidad de Playa Ancha de Ciencias de la Educación	4 años	Pedagogía en Inglés	Educación	97,7%	25,2%	 13,3 	82,7%	 De $400 mil a $600 mil 	 $ 1.560.300 
986	Universidad de Santiago de Chile	6 años	Pedagogía en Inglés	Educación	95,4%	9,3%	 12,1 	87,8%	 De $400 mil a $600 mil 	 $ 1.800.620 
987	Universidad de Tarapacá	5 años	Pedagogía en Inglés	Educación	97,2%	26,9%	 s/i 	67,1%	 De $400 mil a $600 mil 	 $ 1.971.000 
988	Universidad del Bío-Bío	5 años	Pedagogía en Inglés	Educación	100,0%	12,8%	 12,0 	89,5%	 De $400 mil a $600 mil 	 $ 1.690.000 
989	Universidad del Mar	2 años	Pedagogía en Inglés	Educación	96,9%	30,2%	 11,5 	73,3%	s/i	 $ 1.657.081 
990	Universidad Nacional Andrés Bello	5 años	Pedagogía en Inglés	Educación	78,0%	20,8%	 10,3 	87,7%	s/i	 $ 2.480.805 
992	Universidad Santo Tomás	3 años	Pedagogía en Inglés	Educación	98,1%	28,5%	 11,2 	84,5%	s/i	 $ 1.860.117 
993	Universidad Arturo Prat	2 años	Pedagogía en Inglés	Educación	99,2%	34,8%	 13,4 	76,0%	 De $400 mil a $600 mil 	 $ 1.511.000 
996	IP Chileno Británico de Cultura	No	Pedagogía en Inglés	Educación	97,6%	36,4%	 17,5 	85,6%	s/i	 $ 1.758.000 
997	IP del Valle Central	2 años	Pedagogía en Inglés	Educación	99,2%	41,8%	 12,1 	78,0%	 De $400 mil a $600 mil 	 $ 1.003.877 
984	Universidad de Magallanes	4 años	Pedagogía en Inglés para Ensenanza Básica y Media	Educación	90,7%	25,0%	 s/i 	71,0%	s/i	 $ 2.097.000 
971	Pontificia Universidad Católica de Valparaíso	6 años	Pedagogía en Inglés y/o Licenciatura en Lengua y Literatura Inglesa	Educación	85,7%	17,7%	 12,9 	87,0%	s/i	 $ 1.825.000 
978	Universidad Central de Chile	4 años	Pedagogía en Lengua y Cultura Inglesa	Educación	93,9%	24,7%	 9,7 	88,3%	s/i	 $ 1.982.000 
995	Universidad Metropolitana de Ciencias de la Educación	4 años	Pedagogía en Alemán, Francés e Inglés	Educación	94,6%	18,4%	 13,7 	83,4%	 De $400 mil a $600 mil 	 $ 1.675.000 
1007	Universidad Metropolitana de Ciencias de la Educación	4 años	Licenciatura en Educación Matemática y Pedagogía en Matemática mención Ciencias Naturales, o Informática Educativa, o Estadística Educacional, o Educación en Tecnología, o Educación en Astronomía	Educación	95,5%	11,3%	 13,8 	100,0%	 De $600 mil a $800 mil 	 $ 1.675.000 
1006	Universidad del Bío-Bío	5 años	Pedagogía en Educación Matemática	Educación	99,5%	14,3%	 11,9 	87,8%	s/i	 $ 1.690.000 
1003	Universidad de Los Lagos	3 años	Pedagogía en Educación Media en Matemática y Computación	Educación	97,9%	16,0%	 16,4 	93,3%	s/i	 $ 1.507.000 
1004	Universidad de Playa Ancha de Ciencias de la Educación	4 años	Pedagogía en Matemática y Computación	Educación	99,2%	23,4%	 14,0 	96,9%	s/i	 $ 1.560.300 
1005	Universidad de Santiago de Chile	6 años	Pedagogía en Matemática y Computación	Educación	95,4%	22,0%	 12,1 	95,3%	s/i	 $ 1.699.824 
1002	Universidad de La Frontera	5 años	Pedagogía en Matemáticas	Educación	97,9%	20,0%	 10,3 	94,4%	s/i	 $ 1.452.000 
1001	Universidad Católica Silva Henríquez	4 años	Pedagogía en Matemáticas e Informática Educativa	Educación	96,2%	16,7%	 11,4 	90,3%	 De $600 mil a $800 mil 	 $ 2.121.900 
999	Universidad Autónoma de Chile	5 años	Pedagogía en Matemáticas y Física	Educación	98,1%	25,0%	 10,1 	96,6%	s/i	 $ 1.653.600 
998	Pontificia Universidad Católica de Valparaíso	6 años	Pedagogía en Matemáticas y/o Licenciatura en Matemáticas	Educación	93,2%	19,5%	 12,4 	88,7%	 De $600 mil a $800 mil 	 $ 1.825.000 
1000	Universidad Católica de Temuco	5 años	Pedagogía Media en Matemática	Educación	100,0%	34,9%	 s/i 	97,1%	 De $400 mil a $600 mil 	 $ 1.835.000 
1010	Universidad de Concepción	6 años	Pedagogía en Matemática y Computación y Educación Tecnológica	Educación	97,8%	20,3%	 13,7 	90,9%	 De $600 mil a $800 mil 	 $ 1.495.000 
1011	Universidad de La Serena	4 años	Pedagogía en Matemática, Física y Computación	Educación	99,1%	27,8%	 13,8 	97,0%	 De $400 mil a $600 mil 	 $ 1.549.000 
1044	Universidad Nacional Andrés Bello	5 años	Programa de Pedagogía en Educación Media para Licenciados	Educación	81,9%	s/i	 s/i 	81,0%	s/i	 $ 1.470.161 
1040	Pontificia Universidad Católica de Chile	7 años	Programas de Formación Pedagógica	Educación	53,8%	s/i	 s/i 	92,3%	 De $600 mil a $800 mil 	 $ 3.200.000 
1043	Universidad del Desarrollo	5 años	Programas de Formación Pedagógica	Educación	31,8%	s/i	 s/i 	92,0%	s/i	 $ 2.394.706 
1175	CFT Luis Alberto Vera	No	Asistente de Educación Parvularia	Educación	100,0%	2,9%	 s/i 	33,3%	s/i	 $ 800.000 
1165	IP La Araucana	4 años	Asistente de Educación Parvularia y Básica	Educación	99,6%	26,3%	 6,6 	49,6%	 Menor a $400 mil 	 $ 756.637 
1174	CFT La Araucana	No	Asistente de Educación Parvularia y Básica	Educación	99,2%	34,9%	 6,5 	39,4%	s/i	 $ 708.457 
1173	CFT Juan Bohon	No	Asistente de Educador de Párvulos	Educación	100,0%	24,0%	 6,8 	20,0%	s/i	 $ 649.000 
1163	IP AIEP	4 años	Asistente de Párvulo	Educación	98,6%	22,6%	 6,0 	38,6%	 Menor a $400 mil 	 $ 933.253 
1171	CFT INACAP	6 años	Asistente en Educación de Párvulos	Educación	98,6%	27,3%	 5,8 	34,0%	s/i	 $ 1.185.534 
1168	CFT Diego Portales	No	Asistente Técnico del Educador de Párvulos	Educación	99,6%	26,9%	 6,7 	35,6%	 Menor a $400 mil 	 $ 717.431 
1166	IP Latinoamericano de Comercio Exterior	No	Educador Asistente en Educación de Párvulos	Educación	100,0%	33,3%	 6,7 	50,0%	s/i	 $ 808.572 
1172	CFT Iprosec	No	Técnico de Nivel Superior en Asistente de Párvulos	Educación	100,0%	33,3%	 5,9 	45,2%	s/i	 $ 688.900 
1162	Universidad de Los Lagos	3 años	Técnico en Educación Parvularia	Educación	99,6%	23,7%	 7,6 	42,6%	 Menor a $400 mil 	 $ 750.803 
1169	CFT EDUCAP	No	Técnico en Educación Parvularia	Educación	99,1%	21,4%	 6,2 	29,3%	 Menor a $400 mil 	 $ 627.000 
1170	CFT ICEL	No	Técnico en Educación Parvularia	Educación	98,1%	56,9%	 6,4 	39,2%	 Menor a $400 mil 	 $ 579.000 
1176	CFT Santo Tomás	4 años	Técnico en Educación Parvularia	Educación	98,9%	21,3%	 6,0 	38,6%	 Menor a $400 mil 	 $ 882.286 
1164	IP Carlos Casanueva	2 años	Técnico en Educación Parvularia con mención Montessori	Educación	95,7%	53,3%	 7,3 	57,1%	s/i	 $ 714.000 
1167	CFT de ENAC	No	Técnico en Educación Parvularia y Nivel Básico	Educación	100,0%	38,5%	 6,5 	48,2%	s/i	 $ 649.667 
1179	CFT Diego Portales	No	Asistente del Educador Diferencial	Educación	100,0%	s/i	 6,0 	17,1%	 Menor a $400 mil 	 $ 600.000 
1178	IP Latinoamericano de Comercio Exterior	No	Educador Asistente en Educación Especial y Diferencial	Educación	98,6%	37,7%	 6,9 	38,5%	s/i	 $ 770.791 
1177	IP Dr. Virginio Gómez G.	4 años	Técnico en Educación Diferencial	Educación	99,4%	22,2%	 6,3 	15,7%	s/i	 $ 1.134.545 
1180	CFT Santo Tomás	4 años	Técnico en Educación Especial	Educación	99,8%	22,0%	 6,5 	22,9%	 Menor a $400 mil 	 $ 951.978 
1333	Universidad UCINF	2 años	Preparador Físico	Educación	91,2%	38,2%	 5,8 	38,4%	s/i	 $ 1.024.000 
1337	IP Duoc UC	7 años	Preparador Físico	Educación	96,1%	34,0%	 8,3 	43,5%	s/i	 $ 1.264.901 
1339	CFT INACAP	6 años	Preparador Físico	Educación	95,5%	29,7%	 6,9 	38,3%	s/i	 $ 1.179.717 
1340	CFT Santo Tomás	4 años	Preparador Físico	Educación	97,0%	35,1%	 7,2 	37,2%	s/i	 $ 1.089.125 
1332	Universidad de Las Américas	3 años	Técnico de Nivel Superior en Actividad Física y Deportes	Educación	94,0%	35,8%	 6,9 	26,0%	s/i	 $ 1.293.536 
1336	IP de Chile	4 años	Preparación Física y Técnico en Deportes	Educación	99,1%	52,3%	 8,2 	53,5%	 Menor a $400 mil 	 $ 911.706 
1335	IP AIEP	4 años	Técnico Deportivo y Personal Trainer	Educación	96,6%	33,4%	 6,4 	48,3%	 Menor a $400 mil 	 $ 1.067.715 
1338	IP Instituto Nacional del Fútbol	2 años	Técnico y Arbitro de Futbol	Educación	92,5%	62,3%	 5,5 	77,4%	s/i	 $ 1.195.404 
106	Universidad de Playa Ancha de Ciencias de la Educación	4 años	Bibliotecología	Humanidades	99,0%	14,3%	 s/i 	69,0%	 De $600 mil a $800 mil 	 $ 1.560.300 
107	Universidad Tecnológica Metropolitana	2 años	Bibliotecología y Documentación	Humanidades	94,6%	17,9%	 13,3 	94,0%	 De $600 mil a $800 mil 	 $ 2.049.453 
293	Universidad de Chile	7 años	Licenciatura en Filosofía	Humanidades	68,1%	22,4%	 10,9 	55,4%	 De $400 mil a $600 mil 	 $ 2.096.800 
314	Universidad Diego Portales	5 años	Historia	Humanidades	59,3%	19,2%	 11,8 	34,4%	s/i	 $ 3.616.000 
312	Pontificia Universidad Católica de Chile	7 años	Licenciatura en Historia	Humanidades	42,0%	8,0%	 9,0 	37,3%	 De $600 mil a $800 mil 	 $ 2.820.000 
313	Universidad de Chile	7 años	Licenciatura en Historia	Humanidades	72,8%	24,6%	 11,2 	36,9%	 De $400 mil a $600 mil 	 $ 2.096.800 
315	Universidad Nacional Andrés Bello	5 años	Licenciatura en Historia	Humanidades	82,6%	25,3%	 10,6 	33,9%	 De $400 mil a $600 mil 	 $ 2.651.776 
702	Universidad de Chile	7 años	Licenciatura en Lengua y Literatura	Humanidades	78,8%	22,6%	 10,1 	60,1%	 De $400 mil a $600 mil 	 $ 2.096.800 
701	Pontificia Universidad Católica de Chile	7 años	Licenciatura en Letras	Humanidades	53,8%	14,4%	 10,2 	69,3%	 De $600 mil a $800 mil 	 $ 2.820.000 
1269	IP Carlos Casanueva	2 años	Técnico en Bibliotecología y Centros de Información	Humanidades	92,2%	36,9%	 6,0 	91,7%	s/i	 $ 683.744 
1527	IP EATRI Instituto Profesional	No	Interpretación de Enlace Inglés-Castellano	Humanidades	90,0%	53,9%	 6,2 	63,1%	s/i	 $ 802.200 
1528	CFT Escuela de Intérpretes INCENI	No	Intérprete Inglés-Castellano	Humanidades	86,7%	48,7%	 s/i 	67,6%	 De $400 mil a $600 mil 	 $ 1.090.000 
1526	Universidad del Mar	2 años	Técnico de Nivel Superior Intérprete en Negocios Inglés-Español	Humanidades	91,7%	50,0%	 7,4 	35,5%	s/i	 $ 1.263.036 
